Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords
"Law K.M.Y., Geng S., Li T.","Student enrollment, motivation and learning performance in a blended learning environment: The mediating effects of social, teaching, and cognitive presence",2019,Computers and Education,4,10.1016/j.compedu.2019.02.021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062998757&doi=10.1016%2fj.compedu.2019.02.021&partnerID=40&md5=c2989c29c381861fbbf2289c2d7dd688,"This study investigated the effects of student enrolment and learning motivation on learning performance in a blended learning setting at the university level with social, teaching, and learning presence as mediating factors. Data samples were collected from 96 students taking blended learning course and 111 students taking a traditional course. The comparison between these two groups does not show a significant difference in the three presences and learning performance. Structural equation modelling results revealed that student enrolment has a positive impact on social presence and cognitive presence. Enrolment also positively influences learning performance through the above two presences. Learning motivation positively influence social presence only. Learning motivation also plays a vital role in enhancing the enrolment but does not directly influence learning performance in a blended learning setting. Teaching presence was found to have direct positive impacts on the cognitive presence and social presence, and indirect positive impacts on learning performance. These findings highlight the importance of student enrolment and course design from the teaching perspective in a blended learning setting. © 2019",Computer-mediated communication; Improving classroom teaching; Media in education; Teaching/learning strategy,Curricula; Economic and social effects; Motivation; Students; Teaching; Blended learning environments; Computer mediated communication; Improving classroom teaching; Learning performance; Media in education; Structural equation modelling; Student enrollments; Teaching/learning strategy; Computer aided instruction
McDowell J.,A black swan in a sea of white noise: Using technology-enhanced learning to afford educational inclusivity for learners with asperger’s syndrome,2015,Social Inclusion,4,10.17645/si.v3i6.428,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956648994&doi=10.17645%2fsi.v3i6.428&partnerID=40&md5=b58aa663dcacf21ad361b6701eb47daa,"Against a backdrop of increasingly vocation-focussed course provision within higher education, of widening participation initiatives intended to promote greater inclusion for learners affected by learning difficulties, and of moves towards greater use of social and collaborative forms of learning, this paper discusses the case of an undergraduate Computing student affected by Asperger’s Syndrome (AS).While there is recognition in the literature of problems associated with face-to-face dialogue for persons affected by AS, there is a paucity of research both into the experience of students in higher education, and around the issue of participation in group-work activities increasingly found in creative aspects of computing. This paper highlights a tension between moves towards collaborative learning and UK disabilities legislation in relation to learners with AS. Employing a qualitative case-study methodology, the investigation revealed how a technology-enhanced learning intervention afforded an AS-diagnosed learner greater opportunities to participate in groupwork in a higher education context. The findings suggest that not only can computer-mediated communications afford AS-diagnosed learners opportunities to participate meaningfully in group-work, but also that the learner demonstrated higher levels of collective-inclusive versus individual-exclusive phraseology than neurotypical peers, thereby challenging assumptions around participation in collaborative learning activities and assimilation of peer-feedback. © 2015 by the author; licensee Cogitatio (Lisbon, Portugal).",Asperger’s syndrome; Autistic spectrum; Collaborative learning; Computer-mediated communication; Technology-enhanced learning,
"Moorthy K., T'ing L.C., Wei K.M., Zi Mei P.T., Yee C.Y., Jia Wern K.L., Xin Y.M.",Is facebook useful for learning? A study in private universities in Malaysia,2019,Computers and Education,3,10.1016/j.compedu.2018.12.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058172877&doi=10.1016%2fj.compedu.2018.12.002&partnerID=40&md5=071fa13a9911086b1aab7816beca4b8c,"Facebook offers a new learning environment, and is used for online academic discussions between distance learners; however, students lack the primary skills to use it academically due to its popular social use. This issue requires investigation into the drivers that affect undergraduate intentions and behaviour when using Facebook as students of private universities in Malaysia. The technology acceptance model (TAM) is adopted to demonstrate student perceptions of using Facebook for learning. Perceived enjoyment and self-efficacy are also integrated into the research framework to offer a deep understanding about the acceptance and use of new technologies. The determinants analysed are perceived usefulness, perceived ease of use, perceived enjoyment and self-efficacy. Statistical Analysis Software (SAS) is used to analyse the data. The results show that all determinants have significant positive relationships with intention and behaviour to use, except for perceived usefulness. The research findings offer valuable and helpful implications that will contribute to universities, educational developers and academics regarding the effective use of Facebook for learning. This research successfully developed an extended TAM model and verified its applicability for learning in Facebook. © 2018",Computer mediated communication; Human-computer interface; Improving classroom teaching; Media in education; Teaching/learning strategies,Computer aided instruction; Education computing; Human computer interaction; Social networking (online); Computer mediated communication; Human computer interfaces; Improving classroom teaching; Media in education; Teaching/learning strategy; Students
Inel Ekici D.,Development of pre-service teachers’ teaching self-efficacy beliefs through an online community of practice,2018,Asia Pacific Education Review,3,10.1007/s12564-017-9511-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035339395&doi=10.1007%2fs12564-017-9511-8&partnerID=40&md5=a270ac9e1553123728049781196eba54,"This explanatory research uses a mixed method design to investigate the effect of using an online community of practice within teaching practices on science and math pre-service teachers’ teaching self-efficacy beliefs. 102 science and math pre-service teachers participated in the research. “Teaching Self-Efficacy Belief Scale” and “The Questionnaire on Opinions about Using Online Communities of Practice within Teaching Practices” were the data collection tools of the study. Results showed that online communities of practice affected pre-service teachers’ teaching self-efficacy beliefs significantly and positively. Qualitative data of the research also supported this positive change. Science and math pre-service teachers mentioned several benefits of online communities of practice, such as sharing, recognizing common problems, freely expressing themselves, making comparison, realizing their shortcomings, and benefiting from the experiences of others. However, research findings also showed that online communities of practice have some limitations such as the lack of expressions of sincerity, the need for internet access, the need for additional time, and anxiety when it comes to criticism. © 2017, Education Research Institute, Seoul National University, Seoul, Korea.",Online communities of practice; Pre-service teachers; Self-efficacy; Teacher candidate; Teaching,
"Jan S.K., Vlachopoulos P.",Influence of learning design of the formation of online communities of learning,2018,International Review of Research in Open and Distance Learning,3,10.19173/irrodl.v19i4.3620,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054091025&doi=10.19173%2firrodl.v19i4.3620&partnerID=40&md5=8d68fa186c05dde3f3fe5cf900708651,"This paper presents the findings of a study on a fully online Bachelor's level course in Health Sciences at a European University conducted to explore the influence of learning design on the formation and evolution of different types of communities of learning. The impetus for the study came from the well-established effectiveness of community-based learning, a need for understanding learning design and analytics within networked structures and, the lack of theoretical grounding for social network analysis (SNA) in previous literature. Our study uses the Integrated Methodological Framework (IMF) which employs SNA as the key methodology for exploring community-based learning in light of the Communities of Practice (CoP) and Community of Inquiry (CoI) frameworks. The course comprised of three differently designed successive discussion forums spanning three weeks each. Network diagrams and SNA measures clearly showed the impact of the different learning designs on student engagement in the discussion forums. Based on CoP and CoI structural components within the IMF, a comparative analysis of whole-network properties of the three networks indicated the formation of a CoP, initiated and mediated by the tutor in discussion 1, sustained by the students in discussion 2, and disintegrated due to lack of guidance and facilitation in discussion 3. Qualitative analysis on the content of discussion posts revealed the importance of group oriented messages in the formation of the CoP. The paper discusses findings in terms of implications for learning design and analytics in online learning and the role of the tutor in community formation. © 2018, Athabasca University.",Communities of practice; Community of inquiry; Learning analytics; Learning design; Online facilitation; Online learning; Social network analysis,
"Liu Z., Pinkwart N., Liu H., Liu S., Zhang G.",Exploring students' engagement patterns in SPOC forums and their association with course performance,2018,"Eurasia Journal of Mathematics, Science and Technology Education",3,10.29333/ejmste/91667,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047865710&doi=10.29333%2fejmste%2f91667&partnerID=40&md5=9e89764ebe9dd47ea0345db2996bf60e,"With the popularity of Small Private Online Courses (SPOCs) in higher education, a plentiful of discussion data has been increasingly generated in SPOC forums. With 752 undergraduates' discussion posts, this study aims to investigate students' engagement patterns within SPOC forums in terms of engagement behaviors and emotions. Firstly, we designed a behavioral code rule to identify posting- and content-level behaviors, and examined their association with course performance. Secondly, we built an emotion lexicon including positivity, negativity and confusion word sets, and adopted an emotion calculation approach to visualize emotional evolutionary trends and to examine emotional differences in registration types and course performance. The results show that, (1) the high-performing group was more active in the most engagement behaviors except for interactive postings. (2) The registered group delivered more threads and wrote richer vocabulary in post content. (3) Whether students were registered for a course or not did not have a significant effect on their emotional expressions, but the registered group exhibited more confusion in forum interactions at the end of the semester. (4) Positive emotion was prevailing for the entire population. Furthermore, compared with the low-achieving group, the high-performing group had higher emotion densities in three types of emotions. © 2018 by the authors.",Computer-mediated communication; Emotion density; Engagement behavior; Learning performance; Small Private Online Course (SPOC),
Ragusa A.T.,Technologically-mediated communication: student expectations and experiences in a FOMO society,2017,International Journal of Educational Technology in Higher Education,3,10.1186/s41239-017-0077-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035117421&doi=10.1186%2fs41239-017-0077-7&partnerID=40&md5=828a28fa95e1a8ed8ad52bc2fe9702a8,"While technology enables a wider section of society to access higher education, accessing, as a process, fundamentally differs from acquiring the individual and systemic skills required for online learning. This study presents primary data about perceptions of, and experiences with, online learning in an Australian university from a survey of 289 distance education (DE) students. Epistemologically, it prioritises giving agency and voice to an increasingly disempowered collective, online learners, who often are institutionally pursued for economic advantage, rather than pedagogical interest in serving students’ unique, individual needs/preferences. Participants’ comparison of face-to-face and online learning experiences allowed for benefits and disadvantages of online learning to emerge from lived-experiences. While a key benefit of online learning was its perceived ‘flexibility’, findings revealed difference between students’ conceptualisation of flexibility and institutional realities. Although DE students longed for non-technologically-medicated communication with peers and lecturers, the process of learning how to become a DE student failed to address students’ needs/concerns beyond technical skill acquisition and subject content mastery. Students’ ‘fear they were missing out’ (FOMO) on ‘better’ internal classroom and learning experiences was a key limitation 85% perceived about DE. Whereas traditional classroom experiences generally were recalled favourably, online learning was described by its shortcomings. Findings demonstrate need for deeper investigation of how/why educational technologies are implemented. Conclusions suggest critical research investigating whether embedded technologies meet student and/or institutional needs and aspirations in globally competitive learning environments may assuage DE’s stigma, realign expectations and improve teaching/learning experiences. © 2017, The Author(s).",Computer-mediated communication; Distance education; Isolation; Learning preferences; Online learning,
"Hansen M., Fabriz S., Stehle S.","Cultural Cues in Students' Computer-Mediated Communication: Influences on E-mail Style, Perception of the Sender, and Willingness to Help",2015,Journal of Computer-Mediated Communication,3,10.1111/jcc4.12110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929963716&doi=10.1111%2fjcc4.12110&partnerID=40&md5=2737e41ad981ca8f59c4255d36dcd3f9,"Computer-mediated communication among university students with different cultural backgrounds has become widespread. In this study, we examine how undergraduates (N = 130) react to cultural cues when responding to an e-mail request for cooperation sent by a peer. Participants rated the sender's personality and stated their willingness to help. In the inquiry, 2 types of cultural cues were varied, resulting in a 2 × 2 factorial design: ethnicity (German vs. Chinese name) and communication style (Western vs. Asian). Results showed that participants aligned their responses to the communication style; however, the ethnicity cue influenced the wording of their response, their perception of the sender's personality and their willingness to help. Results are discussed regarding communication accommodation and social judgment theories. © 2015 International Communication Association.",Computer-Mediated Communication; Helping Behavior; Higher Education; Intercultural Communication; Lexical Alignment; Social Judgment,Computer networks; Computer mediated communication; Helping Behavior; Higher education; Inter-cultural communications; Social Judgment; Electronic mail
Pfahl M.,The prison blogs: The Mind of Maurice Clarett and image repair on the Internet,2015,"Qualitative Research in Sport, Exercise and Health",3,10.1080/2159676X.2013.834267,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911806264&doi=10.1080%2f2159676X.2013.834267&partnerID=40&md5=b28d8bc4098af0746dc09dfef46ce2b5,"Maurice Clarett occupied the rarified air of sport stardom for a brief time. His ascent to glory was followed by an ignominious descent into trouble and scandal. This study examines Clarett’s blog, The Mind of Maurice Clarett, which was written while he was in prison, to understand how it is used in an image repair strategy. The results of this study show that Clarett’s image repair strategy focused on two main elements: reducing the offensiveness and corrective actions. This examination of Clarett’s blog reveals three important issues related to image repair by athletes. The first is how this context provides further support for Benoit’s framework within the world of sport. Second, it highlights the presence of the dialogic self in image repair strategies. Finally, the computer-mediated communication (CMC) platform of a blog provides an argument that an individual’s image repair strategy can be conceived, altered and ended over time providing platform for a more holistic understanding of CMC image repair strategies and their contexts in general. © 2014 Taylor & Francis.",blog; Clarett; image repair; rhetoric; self-presentation,
"Hode M.G., Behm-Morawitz E., Hays A.",Testing the effectiveness of an online diversity course for faculty and staff,2018,Journal of Diversity in Higher Education,2,10.1037/dhe0000063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021739674&doi=10.1037%2fdhe0000063&partnerID=40&md5=28ff8244c7bb887f0618f8cfe01ceded,"It is an ethical imperative that faculty and staff develop a level of cultural competence in order to work effectively with increasingly diverse student bodies, as well as to prepare students to effectively participate in a diverse, global workforce. Online learning offers a promising way to provide meaningful, in-depth diversity and inclusion education to faculty and staff who typically have limited time to devote to professional development activities. However, little is known about the effectiveness of such learning interventions. The current project utilized a pretest-posttest design to examine the effectiveness of a 4-week instructor-led web-based course facilitated on Blackboard Learning Management System. Effectiveness was defined as increasing participants' cultural competence in terms of cognitive, affective, and behavioral learning related to building a more inclusive campus environment. The findings of this study provide initial evidence for the use of this online course to support the development of faculty and staff cultural competence. Results indicate that participants developed a greater understanding of the value of diversity, an increased openness to learning about other cultures, and a greater awareness of their social privileges. Results also suggest that individuals' geographic background and comfort level with computer-mediated communication moderate the effectiveness of the course in terms of learning outcomes. Finally, qualitative data from the open-ended questions help support the quantitative analyses and provide a richer understanding of participants' experiences and learning in the online course. Implications for research on the effectiveness of online diversity courses are discussed. © 2017 National Association of Diversity Officers in Higher Education.",Cultural competence; Diversity and inclusion; Faculty and staff training; Online learning; Professional development,
"Wakefield J., Frawley J.K., Tyler J., Dyson L.E.",The impact of an iPad-supported annotation and sharing technology on university students' learning,2018,Computers and Education,2,10.1016/j.compedu.2018.03.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045580220&doi=10.1016%2fj.compedu.2018.03.013&partnerID=40&md5=0b6842926222f0a0558394af24da4ef7,"iPads, or more generally tablet computers, have received rapid and widespread uptake across higher education. Despite this, there is limited evidence of how their use affects student learning within this context. This study focuses on the use of a tablet by the instructor to support the annotation and in-class sharing of students' work to create a collaborative learning environment within a first year undergraduate subject. This paper reports the results of an empirical study looking at the effect this tablet technology has on student performance using a sample of 741 first-year accounting students. The study uses data from enrolment and attendance records, end of semester examination results and student perceptions from a survey. Results indicate that class sharing of the instructor's and students' annotation of homework through the use of a tablet is associated with an improvement in student performance on procedural or equation-based questions as well as increased student engagement. However, contrary to expectations, the introduction of in class annotations was associated with a decline in student performance on theoretical, extended response questions. The authors argue that affordances of the tablet, when used in a student-centred way, can introduce a bias towards some kinds of interactions over others. This large-scale study of in-class tablet use suggests that though the tablets may be positively associated with student engagement and satisfaction, caution must be exercised in how the use by the instructor affects the classroom environment and what students learn. These findings have particular relevance to university learning contexts with equation-centric subjects such as those in Business and STEM. © 2018 Elsevier Ltd",Computer-mediated communication; Cooperative/collaborative learning; Improving classroom teaching; Post-secondary education; Teaching/learning strategies,Computer aided instruction; Cooperative communication; Distributed computer systems; Teaching; Computer mediated communication; Cooperative/collaborative learning; Improving classroom teaching; Postsecondary education; Teaching/learning strategy; Students
Ramadan R.,Unravelling Facebook: a pedagogical tool during the Syrian crisis,2017,Open Learning,2,10.1080/02680513.2017.1345303,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021272467&doi=10.1080%2f02680513.2017.1345303&partnerID=40&md5=9678f54b268a70d02ee550e581a55cf5,"This paper aims to analyse the role of Facebook in academia during the Syrian crisis. Data were collected by means of an online survey from 726 students at Damascus University (Males = 446, Females = 280). Results indicated that Facebook facilitated communication and resource sharing in times of war and crisis where safe commuting posed a challenge for students. It served as an alternate trustworthy medium within the failure of the official web sites at Damascus University. The study suggests that Facebook is an effective pedagogical tool for countries going through crisis and war situations, and a promising educational tool that warrants further attention in underdeveloped and Arab countries in general. © 2017 The Open University.",Arabs; Computer-mediated communication; Facebook; Syrian crisis; university,
"Gökçearslan S., Karademir T., Korucu A.T.",Preservice Teachers' Level of Web Pedagogical Content Knowledge: Assessment by Individual Innovativeness,2017,Journal of Educational Computing Research,2,10.1177/0735633116642593,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012104653&doi=10.1177%2f0735633116642593&partnerID=40&md5=21d4d57cab4057278065cb879ee47cbf,"Technological Pedagogical Content Knowledge, one of the frameworks proposed in order to popularize the use of technology in a classroom environment, has been customized and has taken the form of Web Pedagogical Content Knowledge. The Relational Screening Model was used in this study. It aims to determine whether a profile of preservice teachers based on their ""individual innovativeness"" can be used as a significant predictor in also categorizing them according to their knowledge of web technology, pedagogy, and content. A total of 170 preservice teachers studying at various departments of the Faculty of Education at a public university in Ankara, Turkey participated in the study. This study, in which Discriminant Analysis was used to determine whether this predictor is significant or not, found that teachers in the Early Majority category had high scores in terms of pedagogical web content and general web knowledge, and that ""individual innovativeness"" was effective in predicting the general web and communicative web categories to which they belonged. Certain conclusion can be made regarding Web Pedagogical Content Knowledge and future studies on this subject, based on results of the study. © The Author(s) 2016.",computer-mediated communication; improving classroom teaching; interactive learning environments; pedagogical issues; postsecondary education,
"Brooks C.F., Young S.L.","Exploring communication and course format: Conversation frequency and duration, student motives, and perceived teacher approachability for out-of-class contact",2016,International Review of Research in Open and Distance Learning,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991628619&partnerID=40&md5=ce887c5acb5e6825fbf08ce5cd641a78,"This study explored how course instructional format (i.e., online, face-to-face, or hybrid) is related to the frequency and duration of out-of-class communication (OCC) between college instructors and students, to student motives for communicating with teachers, and to perceived teacher approachability for conversation outside of class. Though differences in frequency of and student motives for engaging in OCC were not significant, students enrolled in face-to-face courses reported significantly more ongoing/durative OCC with their instructors compared to students enrolled other course types (i.e., online or hybrid). Students in fully online courses reported instructors to seem less receptive to but also less discouraging of OCC than students in face-to-face or hybrid courses. Overall, this study offers a sense of how students who seek informal interaction with instructors beyond the classroom are faring amid the increased reliance on web-based learning environments in higher education.",Computer-mediated communication; Course format; Extra-class communication (ECC); Hybrid education; Online learning; Online teaching; Out-of-class communication (OCC); Teacher approachability,
"Li L., Peng W.","Transitioning through social media: International students' SNS use, perceived social support, and acculturative stress",2019,Computers in Human Behavior,1,10.1016/j.chb.2019.03.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064497698&doi=10.1016%2fj.chb.2019.03.011&partnerID=40&md5=0d400215c007b0b408f57f8d63c99991,"Social networking sites (SNSs) are becoming an increasingly important communication tool for international students. Research suggests that it could facilitate the acculturation process. However, the mechanisms through which such facilitation take place are still under-investigated. This study examined the role of perceived social support from home/host country as mediators through which home/host SNSs use were associated with international students' acculturative stress. By surveying international students in a large American university (N = 322), the study found that (1) both perceived social support from home and host country were related to less acculturative stress; (2) SNS use with host national was associated with less acculturative stress through the increased level of social support from host country; (3) SNS use with distant and local conational was related neither to perceived social support from home country nor to acculturative stress. Among the control variables, we also found that (1) non-SNS mediated communication (i.e., email, text messages, and phones calls) with distant conational as well as face-to-face communication with local conational were related to less acculturative stress through the increased level of social support from home country; (2) non-SNS mediated communication with host national was associated with less acculturative stress through the increased level of perceived social support from host country. We discuss how these findings help us understand international students' acculturation experience in the age of digital media. © 2019 Elsevier Ltd",Acculturative stress; Computer-mediated communication; International student; Social media; Social networking sites; Social support,Digital storage; Students; Computer mediated communication; International students; Social media; Social networking sites; Social support; Social networking (online); article; cultural factor; e-mail; human; major clinical study; mediator; social media; social network; social support; stress; student
Lung-Guang N.,Decision-making determinants of students participating in MOOCs: Merging the theory of planned behavior and self-regulated learning model,2019,Computers and Education,1,10.1016/j.compedu.2019.02.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061535052&doi=10.1016%2fj.compedu.2019.02.004&partnerID=40&md5=c05dc52ed194b5b62a4cede06575911a,"Background: The purpose of this study was to investigate the relationship between self-regulated learning and planned behavior of students participating in massive open online courses (MOOCs) at universities. Materials and methods: This was a questionnaire study in which all of the respondents in the survey are undergraduate students in Taiwan. A total of 222 (114 male and 108 female) students were selected as survey subjects. Researchers used partial least squares (PLS) regression and confirmatory factor analysis (CFA) to evaluate the measurement model and the quality of measures. Data collection tools were the Self-Regulated Learning at Work Questionnaire and the Theory of Planned Behavior Questionnaire. Results: Structural equation modeling was used to test research hypotheses. All the hypotheses tests showed that there was a positive and significant relationship between forethought of SRL and TPB. But, the relationship between attitude toward the behavior and behavioral intention was not significant. Additionally, the salient role of self-efficacy, goal setting, and task interest in generating planned behavior for participating in MOOCs was identified. Overall, self-efficacy, goal setting, and task interest were strong prediction variables for the proposed theoretical model. Conclusion: Results of the structural model comparisons revealed that the prediction power of the integrated model was superior to that of the theory of planned behavior or the self-regulated learning model in the MOOCs online learning context. © 2019 Elsevier Ltd",Computer-mediated communication; Learning communities; Media in education; MOOCs; Self-regulated learning; Theory of planned behavior,Decision making; Decision theory; E-learning; Education computing; Factor analysis; Least squares approximations; Quality control; Students; Surveys; Computer mediated communication; Learning community; Media in education; MOOCs; Self-regulated learning; Theory of Planned Behavior; Behavioral research
"Piercy C.W., Lee S.K.",A typology of job search sources: Exploring the changing nature of job search networks,2019,New Media and Society,1,10.1177/1461444818808071,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059505534&doi=10.1177%2f1461444818808071&partnerID=40&md5=33a8f9a1589f2823a16f7f7005450e51,"This study explored American job seekers’ network of information sources using a random sample. Results revealed a pattern that job seekers segmented information sources by social (i.e. personal and professional acquaintances, family, and friends), formal (i.e. employment agencies, printed advertisements, and career events), and online (i.e. online pages and social network sites) types. Although online sources were particularly central in the network, job seekers who used one source type did so at the expense of other types of sources. Older and poorer job seekers were more likely to use formal sources, while online sources were used more by job seekers with higher education and Internet efficacy. The discussion offers advice for job seekers and those who coach job search. This study extends strength of weak ties theory by demonstrating the importance of online sources in job search. © The Author(s) 2018.",Computer-mediated communication; job information sources; job search; social network; strength of weak ties,
"Cacciamani S., Perrucci V., Khanlari A.",Conversational functions for knowledge building communities: a coding scheme for online interactions,2018,Educational Technology Research and Development,1,10.1007/s11423-018-9621-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051745110&doi=10.1007%2fs11423-018-9621-y&partnerID=40&md5=2b4c5a11e32fdefe0456f9129c9ea533,"The aim of this study was to develop a coding scheme rooted in the Knowledge Building model, named Conversational Functions for Knowledge Building (CF4KB), to analyze students’ interactions in an online undergraduate course. In order to develop the coding scheme, we analyzed students discourse and identified the kinds of “Conversational Functions” students performed. Connecting these identified functions with Knowledge Building Model principles, we developed the coding scheme to analyze knowledge building [In the present article, we used “Knowledge Building” to indicate the theoretical model and “knowledge building” to refer to the activity of the community members.] activity. Applying the resulting coding scheme, two independent judges coded 186 messages posted into Knowledge Forum by 26 students (5 men and 21 women) attending the online course of Educational Psychology at University of Valle d’Aosta to develop the coding scheme. The inter-coder agreements obtained were 77.3 and 78.0%, with Cohen’s K = 0.68 and 0.66, respectively for Specific and Global Conversational Functions level. The theoretical implications and possible uses in different contexts for future inquiry of this instrument are discussed. © 2018, Association for Educational Communications and Technology.",Computer mediated communication; Cooperative/collaborative learning; Learning communities; Post-secondary education,
"Förster M., Weiser C., Maur A.",How feedback provided by voluntary electronic quizzes affects learning outcomes of university students in large classes,2018,Computers and Education,1,10.1016/j.compedu.2018.02.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042684632&doi=10.1016%2fj.compedu.2018.02.012&partnerID=40&md5=6bea45e5c7ba3783d4eece3a3d8527c0,"In view of the increasing number of university students attending large statistics classes as a requirement for their degree courses, the use of an online learning environment is indispensable for delivering immediate and frequent feedback. However, results of research on the value of technological tools and blended courses in various academic disciplines are not consistent and only point to minimal effects on academic achievement. To fill this gap, in this study, participation in optional electronic quizzes and its effects on exam grades in large statistics classes depending on gender and previous statistics- and mathematics-related abilities are investigated. Overall, participation in the electronic quizzes yielded a positive effect on final grades. However, particularly the groups who participated less in the electronic quizzes – i.e. poor performing students and males - benefitted more from quiz participation than high performing and female students. The large variability in effect sizes of feedback on performance suggests that additional moderators such as specific situation- and task-related characteristics and individual affective preconditions such as effort, motivation, and self-esteem should be analyzed in future research. © 2018 Elsevier Ltd",Applications in subject areas; Business and economics statistics; Computer-mediated communication; Feedback; Gender studies; Post-secondary education; Teaching/learning strategies,Computer aided instruction; Economics; Feedback; Online systems; Students; Teaching; Applications in subject areas; Business and economics; Computer mediated communication; Gender studies; Postsecondary education; Teaching/learning strategy; E-learning
Pan S.,Examining the effects of social networks formed in a senior-oriented online community on older participants’ subjective well-being in China,2018,Chinese Journal of Communication,1,10.1080/17544750.2017.1296012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014556886&doi=10.1080%2f17544750.2017.1296012&partnerID=40&md5=328d4b0d42d5766095494f06b492134e,"In recent decades, the dramatic socioeconomic changes that have occurred in China have increasingly affected the social lives of older Chinese adults. The purpose of this study is to determine whether the social networks developed in an online community contributed to the subjective well-being of this age group. The underlying mechanism of this effect was examined by investigating a senior-oriented online community (OldKids). An online survey was administered to participants in the OldKids network. The results showed that the proposed theoretical model was effective in demonstrating that their participation in the OldKids network improved the participants’ subjective well-being through the mediation of perceived social support and feelings of social connectedness. The theoretical and practical implications of the results are discussed in this paper. © 2017 The Centre for Chinese Media and Comparative Communication Research, The Chinese University of Hong Kong.",feelings of social connectedness; older adults; perceived social support; social networks formed in online communities; subjective well-being,
Alharbi M.A.,Patterns of EFL learners' and instructor's interactions in asynchronous group discussions on free writing,2018,Journal of Information Technology Education: Research,1,10.28945/4143,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058654573&doi=10.28945%2f4143&partnerID=40&md5=2241954791a6e94a6ac5d0bc0c6c416a,"Aim/Purpose The aim of the present study was to examine peer interactions and the instruc-tor's facilitation of online asynchronous group discussions on free writing among 20 learners of English as a foreign language (EFL) joining one Saudi university over one academic semester. The study also attempted to explore the views of the learners on the online interactions. Background Peer interaction has been one of the interesting topics for research on the appli-cations of computer mediated communication (CMC) tools among learners in different domains, including language learning and writing. However, most of the EFL classroom practices lack such peer interactions and are dominated by teach-er-centered approaches. Moreover, although CMC tools serve as interactive plat-forms for online peer interaction, such interaction needs to be cultivated and maintained by instructors. Methodology The study was conducted among 20 learners of English as a foreign language (EFL) in one Saudi university over one academic semester. The instructor of the writing course facilitated the asynchronous group discussions of free writing. The data was collected from (l) learners' peer interactions, (2) instructor's comments in the discussions and (3) learners' follow-up individual interviews. A qualitative content analysis of online interactions and a thematic analysis of the students' responses to the interview questions were performed. Contribution The use of technology reported in this study maximizes the opportunities for teacher-learner and learner-learner interactions, which are restricted or almost lacking in the EFL writing classroom. The findings of the present study also con-tribute to previous research on learners' peer interactions and instructors' facilita-tion of asynchronous group discussions. More specifically, the study informs us of the role of peer interactions through asynchronous tools in language learning, including writing. It also highlights the role of instructors in facilitating asynchro-nous group discussions. Findings The findings showed that the EFL learners posted 1702 comments distributed among eleven patterns in terms of its language functions: evaluation, problem identification, alterations, clarification, suggestion, justification, agreements and disagreements, comprehension check, procedural, error acknowledgement and others. Analysis of the foci of peer interactions illustrated that the learners en-gaged in task-oriented interactions: content, organization, purpose, grammar, vo-cabulary and spelling and punctuations and non-task-oriented interactions: task management and socialization. Based on the analysis of the instructor's com-ments, the instructor played an important role in facilitating the group discussions as indicated through his various comments (n=852) on the learners' discussions. Although the learners expressed their positive views on the role of peer interac-tions and learner-instructor interactions in enhancing language learning, including writing, grammar and even reading, some of them were challenged by the flow of online interactions, weak net connection and sensitivity to peer feedback. Recommendations for Practitioners The findings of the study provide valuable recommendations to both learners and instructors who are interested in using asynchronous tools for language learn-ing and, in particular, writing through interactions. The application of such tools is promising, and its value is maximized with instructor's facilitation of peer inter-actions. Recommendations for Researchers The study provides valuable insights into how peer interactions and instructor's comments are both important when investigating asynchronous group discus-sions in EFL learning. Therefore, researchers should search this interesting re-search topic further to enrich our knowledge of it. Impact on Society Since the study focuses on one country of the EFL context, it is expected to have an impact on the society, particularly university learners and instructors by raising their awareness of the role of technological applications in learning and teaching. Future Research Future researchers should focus on how peer interactions are distributed among individual learners and how the instructor's facilitation affects peer interactions in asynchronous group discussions over time. © 2018, Informing Science Institute.",Asynchronous tools; EFL writing; Instructor's facilitation; Peer interaction,Breath controlled devices; Data mining; Online systems; Computer mediated communication; English-as-a-Foreign-Language; Instructor's facilitation; Learning and teachings; On-line interactions; Peer interactions; Problem identification; Technological applications; Learning systems
